trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.75, 'e': 4.0}",25,0,-51.29889753284193,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
136,False,"{'a': 0.75, 'e': 4.0}",20,0,-150.30004149467024,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
137,False,"{'a': 0.75, 'e': 4.0}",35,13,-110.06598241094909,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 2}",1
138,False,"{'a': 0.75, 'e': 4.0}",30,0,-131.30617489117287,"{0: 17, 1: 2, 2: 10, 3: 0, 4: 1}",0
139,False,"{'a': 0.75, 'e': 4.0}",25,0,-151.41749881921746,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
140,False,"{'a': 0.75, 'e': 4.0}",20,0,-122.12249206156568,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
141,False,"{'a': 0.75, 'e': 4.0}",25,0,-56.49768798196396,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
142,False,"{'a': 0.75, 'e': 4.0}",30,0,-146.46521955721337,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
143,False,"{'a': 0.75, 'e': 4.0}",30,0,-128.72547467893313,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
144,False,"{'a': 0.75, 'e': 4.0}",25,0,-124.28240625490557,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
145,False,"{'a': 0.75, 'e': 4.0}",30,0,-276.1534805414811,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 5}",0
146,False,"{'a': 0.75, 'e': 4.0}",25,0,-89.61198266882444,"{0: 15, 1: 5, 2: 2, 3: 3, 4: 0}",0
147,False,"{'a': 0.75, 'e': 4.0}",25,0,-97.31822287490539,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
148,False,"{'a': 0.75, 'e': 4.0}",35,0,-316.24054467751625,"{0: 16, 1: 7, 2: 5, 3: 2, 4: 5}",0
149,False,"{'a': 0.75, 'e': 4.0}",35,0,-118.69000120770053,"{0: 21, 1: 6, 2: 7, 3: 0, 4: 1}",0
150,False,"{'a': 0.75, 'e': 4.0}",25,0,-132.04184125042548,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
151,False,"{'a': 0.75, 'e': 4.0}",20,10,-26.292791215403906,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
152,False,"{'a': 0.75, 'e': 4.0}",30,0,-129.66462148506838,"{0: 15, 1: 6, 2: 7, 3: 2, 4: 0}",0
153,False,"{'a': 0.75, 'e': 4.0}",20,0,-99.3303837103092,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
154,False,"{'a': 0.75, 'e': 4.0}",20,0,-105.48888763176163,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
155,False,"{'a': 0.75, 'e': 4.0}",20,0,-144.21326320201078,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
156,False,"{'a': 0.75, 'e': 4.0}",20,0,-87.88533859456965,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
157,False,"{'a': 0.75, 'e': 4.0}",30,0,-256.2831533590283,"{0: 13, 1: 6, 2: 6, 3: 1, 4: 4}",0
158,False,"{'a': 0.75, 'e': 4.0}",20,0,-46.449840389641636,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
159,False,"{'a': 0.75, 'e': 4.0}",20,0,-62.000590317800345,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
160,False,"{'a': 0.75, 'e': 4.0}",20,0,-69.39359235268687,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
161,False,"{'a': 0.75, 'e': 4.0}",25,0,-107.76124014877486,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
162,False,"{'a': 0.75, 'e': 4.0}",20,0,-139.5228737450199,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
